զամենեսեան	398
արքայն	397
հանապազ	397
մարդիկ	397
յայնմ	397
միմեանս	396
կողմանս	392
անմահ	391
ձեռս	391
զիւր	390
յորմէ	389
հրամայեաց	388
զսուրբ	387
այսինքն	387
հուր	385
բազումք	385
պատիւ	382
ունելով	382
մայր	381
քաղաք	381
հոգեւոր	380
իբ	379
այսպիսի	379
անկեալ	375
կալ	375
իշխան	374
տան	373
երբեմն	372
նաւ	370
եմք	369
բազմաց	368
սրբոցն	364
վերին	363
ց	363
զմի	363
ժգ	363
մարմնոյն	362
սէր	361
մեծին	360
առնու	360
սակս	360
իցեն	360
փառաւք	359
ամենայնի	359
իմոյ	357
բոլոր	356
ընկալեալ	356
յաւիտենից	356
լինէին	356
տուն	355
գրեալ	355
յանդիման	353
կացեալ	352
սաստիկ	352
կարէ	352
նոցին	351
քաղաքն	351
անդրէն	351
ներքս	351
յայսմ	350
երկուս	348
ժը	347
կամաց	346
զանձն	346
միտս	346
միանգամայն	345
գալ	344
հր	344
յաւէտ	343
ամենեւին	343
մտաց	342
եհաս	342
կ	342
մէնջ	341
սիրոյ	340
խ	338
առաքելոցն	337
իջեալ	335
երեւեալ	335
որդւոյն	335
գրոց	335
ժդ	335
ժէ	335
նախարարացն	335
հարեալ	334
լուսոյն	332
այսոքիկ	332
մովսէս	331
ել	330
բնութեան	330
որչափ	330
ժթ	330
հաւրն	329
բարեխաւսութեամբ	328
հրեշտակաց	327
երկնաւոր	327
զորդի	327
իդ	327
ումեք	324
կարող	323
ծնաւ	323
հայս	323
երանելի	322
յաշխարհն	320
արեգակն	319
հինգ	319
յերկնից	319
բազումս	319
այնմ	318
ուրեք	318
բարձեալ	317
թերեւս	317
ամէն	316
շուրջ	315
անցեալ	315
բարեաց	314
որդիք	314
իա	314
գիտել	314
խաղաղութիւն	310
յաւուրս	310
ուրախ	309
պատուական	309
պատերազմ	307
ժզ	307
անձանց	306
եկեղեցի	306
եղբայր	306
կուսին	305
վ	305
գրիգոր	305
միում	305
հաւատով	304
հասանել	304
ամ	304
իշխանին	303
յարուցեալ	303
հրամանաւ	303
կարի	303
զաւրաց	301
արարչին	301
յորոց	301
իէ	301
պատճառ	300
լերինն	300
արշակայ	300
թագաւորութեանն	300
ընկա	299
յայս	299
կալեալ	299
երկուց	299
գտեալ	299
աւետիս	298
կամաւք	297
թողեալ	297
մարմինն	297
արկեալ	295
յիւրաքանչիւր	295
այլոց	295
ջուր	294
ինքեան	294
մեռաւ	293
հասանէր	293
այսր	293
իգ	293
ձայնիւ	292
էք	292
միածին	291
գնացին	291
մերձ	291
դաւթի	290
մտեալ	290
արեամբ	290
զերկիր	290
արշակ	290
սահման	286
հոգւով	286
բանից	286
ածեալ	285
իս	285
լե	284
յայն	284
հ	284
դեռ	284
ազգաց	283
ժողովեալ	283
մ	283
ինքեանք	283
իշխանութիւն	283
նովաւ	282
բաւական	282
ներսէս	282
պահել	281
գիտէ	281
հաստատեալ	280
բերեալ	280
մեծն	280
արժան	280
հարցն	280
հարիւր	280
հեթանոսաց	279
անձին	279
քաղաքի	279
սիրոյն	278
իը	278
ծ	277
կեանս	277
կատարել	277
առաքեալ	276
յանուն	276
պատերազմին	274
ասեմ	274
խոսրով	274
երկնային	273
շապհոյ	273
սկսաւ	272
արանց	271
զաւր	271
առին	271
սահակայ	271
կամի	271
աւուրն	270
աշխարհս	270
տեառնէ	270
հազար	269
կին	269
աստուածութեանն	269
զհոգին	268
թագաւորաց	268
զաւրքն	268
աշխարհ	268
պաւղոս	268
յիւր	267
յարութեան	267
իզ	267
կուսէն	265
գործոց	265
սոքա	265
ներքոյ	265
եկին	264
փրկութեան	262
առնելով	260
մարդոյն	260
տեղին	260
կարգի	260
ոչինչ	260
ղ	260
ուրուք	260
ազգին	259
չարին	259
յետոյ	259
երրորդ	259
տաղ	258
երեւեցաւ	258
արտաքոյ	258
մերում	258
տանել	258
արդար	257
զաշխարհս	257
երբէք	257
երրորդութեանն	257
սիւնեաց	257
աւելի	257
կան	256
դաւիթ	256
եկաց	256
մարիամ	255
արարածոց	255
նման	255
յաւուր	254
արեան	254
սահակ	254
զանուն	254
արտաքս	254
վեց	253
ասէին	253
սուր	253
իմոց	253
առն	253
այնոցիկ	253
կամաւ	252
քարոզ	252
յոր	252
իթ	252
մինչդեռ	252
տաճար	251
տեսին	251
տարեալ	251
գիշերի	251
արդեաւք	250
այլք	250
զայլ	250
արարիչ	249
զբանն	249
շապուհ	249
սմբատայ	248
որս	247
արդարութեան	246
յերկրէ	246
եդ	245
զմիտս	245
երեւի	244
մարդկանէ	244
ահ	244
վահանայ	244
սոյնպէս	244
ճ	243
մարմնի	242
աստուածածին	242
սոցա	242
տասն	242
հրամայէր	242
այնչափ	242
այդ	241
հայրապետն	241
երթալ	240
ոմանց	240
կային	240
իւրովք	239
ընդունել	238
մարդկային	238
ակն	238
առնոյր	238
ողորմեա	237
ընտրեալ	237
գայր	237
ճշմարտութեան	237
երանելին	237
բնաւ	237
հրամայէ	237
միաբան	236
ասացին	236
բազմութիւն	235
զքրիստոս	235
չէր	235
գաւառին	235
հայրենի	234
բանիւք	234
սահմանս	234
թագաւորէ	234
լուաւ	234
քոյ	233
տեղւոջ	233
ցուցանէ	233
լոյսն	232
միւս	232
սրով	232
ելանել	232
թագաւորացն	232
թուղթ	232
յայտնեալ	231
վահան	231
զբազումս	231
արք	231
ծնանի	230
փ	230
ադամայ	229
արդարեւ	229
սիրելի	229
զաւրավարն	229
ունէին	229
զորդին	228
զաւրս	228
մարգարէն	228
տրդատայ	228
ետուն	227
զաւրուն	227
ըզմեզ	226
պէտս	226
մաքուր	226
մարդն	226
խաղաղութեան	226
ածել	226
արեգական	226
զմահ	225
յովհաննու	225
յաթոռ	225
թիւ	225
ամաց	225
զայդ	225
լսել	225
ժամանակ	224
խաչ	224
հաւատոց	224
երկնի	223
ասացաք	223
աբրահամու	222
զտէր	222
ժողովոյն	222
յերկիրն	222
ձ	222
յայլ	221
մտաւք	221
աւրինացն	220
թագաւորեաց	220
առնէին	220
կողմանց	219
կողմն	219
ահեղ	218
չորս	218
հանեալ	218
կոչէ	218
երկինք	217
մտանել	217
ձեռաց	217
տեսակ	217
լցեալ	217
զկամս	217
գնացեալ	217
գոն	217
հաւատարիմ	216
կամեցաւ	216
անուան	216
ռ	216
սատանայի	216
ծնեալ	215
ճանապարհ	215
սեռ	215
գաւառն	215
սուտ	215
անձն	214
կամս	214
առաքէ	214
աւրինակի	213
մատուցեալ	213
անաւրէն	213
հնար	213
կոչեցեալ	212
առաքեաց	212
յերուսաղէմ	212
զթագաւորն	212
յինքն	212
յաւիտեան	211
տանն	211
ելանէ	211
վառեալ	210
ողջոյն	210
կատարումն	210
մեռելոց	210
հաստատուն	210
դնել	210
վերստին	209
սրբութեան	209
յուսով	209
եկեղեցւոյն	209
հրամանի	208
հոգւոյ	208
արասցէ	208
սատանայ	208
այսոցիկ	208
հասին	207
արարին	207
խաւսել	207
եպիսկոպոսի	207
բարերար	206
գեղեցիկ	206
ահագին	206
էառ	206
փրկչին	206
երից	206
յովհաննէս	205
տես	205
շնորհաց	204
զմարմին	204
յարեաւ	204
զմեծ	204
սքանչելի	203
ծովուն	203
անուանեալ	203
զհայր	203
չարաչար	203
շնորհաւք	202
չիք	202
լուսնի	202
գուցէ	202
հայրն	201
փոխ	201
բանաւոր	201
յինէն	201
սպանանել	201
եղեր	200
խնդիր	200
արկանել	200
առաջ	200
առաջնորդ	199
իմանալի	199
հայրապետին	199
ունիմք	199
մաւտ	199
աղաւթից	199
այսուհետեւ	199
պատարագ	198
բարեխաւսեա	198
եմուտ	198
յինքեան	198
փախստական	198
ձերոց	198
գտանել	198
պ	198
բնակեալ	197
պետրոս	197
ցուցանել	197
նովին	197
երիս	196
յոյս	196
խոսրովու	196
մարգարէին	195
կարգեալ	195
գրով	195
եպիսկոպոսն	195
աստանաւր	194
աղաւթիւք	194
աւետարանին	194
նաեւ	194
քսան	194
զսա	194
զանազան	193
զաւրավարին	193
երբեք	193
սմբատ	193
ոսկի	192
տեսիլ	192
մեռեալ	192
առնեն	192
բուռն	192
ժամու	192
երանելւոյն	192
այսմ	191
լեառն	191
ծով	190
քոյին	190
անճառ	190
հայցեմք	190
հաւատս	190
բարեխաւս	190
կամէր	190
այղ	190
մեծապէս	189
միտք	189
գնալ	189
անարատ	188
զառ	188
մեղացն	188
կենացն	188
աշխարհն	188
զառաջինն	186
գրէ	186
գիտութեան	185
հաճոյ	185
լեր	185
մեծամեծ	185
գիտեմ	185
կանոն	184
հանգիստ	184
յովսէփ	184
ադամ	184
ամին	184
նմանութիւն	184
անհնարին	184
միանգամ	184
գոյացութիւն	184
ապր	184
ծնունդ	183
զաւրն	183
ազգ	182
մարգարէիցն	182
ըզքեզ	182
բնութիւնս	182
չարեաց	182
աւուրց	182
ձէնջ	182
ընդունի	182
միտ	182
փրկութիւն	181
գիր	181
ձերոյ	181
իրաց	181
կոչեն	181
թուի	181
կալաւ	181
զզաւրսն	181
կեանք	180
երկոտասան	180
զոմանս	180
հայք	180
խնդրել	180
ճշմարտութեամբ	180
լուսով	179
անուամբ	179
իմանալ	179
դրախտին	178
պատկեր	178
երեսուն	178
զմտաւ	178
գործել	177
կենդանեաց	177
մին	177
գնդին	177
յաղաւթս	177
կապեալ	177
կոչեաց	177
կողմանէ	177
այնպիսի	177
լինելով	176
կարաց	176
փառացն	176
ուղիղ	176
այրն	176
բնութեանն	176
միջի	176
նշան	176
արգ	176
բանական	175
մանուկ	175
ներսիսի	175
անդադար	175
արտասուաւք	175
միասին	175
պատահումն	175
առաքեալն	175
քաղկեդոնի	175
աստի	175
պատերազմի	174
թողութիւն	174
զերկինս	174
յամենայնի	174
շինեալ	174
յիրաւի	174
զզաւրս	174
զայսոսիկ	174
յաշխարհի	173
ցուցեալ	173
ընկալաւ	173
պարգեւս	173
չեւ	173
արս	173
ահկ	173
եցոյց	172
ծածկեալ	172
թողուլ	172
բաժանեալ	172
ժամանակաց	172
դիւաց	172
աշոտ	172
աթոռ	171
երկրին	171
ժամանակին	171
տեղւոջն	171
վասակ	171
իմաստասիրութիւն	171
մովսիսի	170
տեսանէր	170
սըրբոց	170
դարձան	170
իրացն	170
որդւոց	169
լուսաւոր	169
ընկալցիս	169
գիտութիւն	169
բազմութեան	169
մասին	168
կոչէր	168
զմարմինն	168
միով	168
փութով	168
զբանս	168
հանել	168
խոսրովայ	168
քեւ	167
կանանց	167
յերկուս	167
եպիսկոպոսին	167
կեցեալ	167
երկիրն	167
մահուամբ	166
դէմ	166
յաշխարհս	166
ասիցէ	166
զմեղս	165
վերուստ	165
ողորմութեան	165
կամք	165
վարուք	165
ծառայութիւն	165
հիւսիսոյ	165
որգոն	165
իշխանաց	164
այնու	164
սկզբանէ	164
յանկարծակի	164
հաւատացեալ	163
խաւար	163
յանձին	163
յառաջին	163
անձամբ	163
չափ	163
գետոյն	163
հասանէ	163
արեաց	163
գրել	163
ինքնին	162
հակառակ	162
կրկին	162
ձեռամբ	162
զաւրաւք	162
փոյթ	162
ճշմարտութեանն	162
հոգոյն	161
եղիցին	161
աւրինաց	161
առաքելական	161
հզաւր	161
աղաչեմ	161
ձեռագրերում	161
վասըն	160
կամացն	160
յաշխարհ	160
չորրորդ	160
շինեաց	160
կայսեր	160
որդիս	159
կազմեալ	159
սրտիւ	159
հաւատացելոց	159
խաչն	159
թող	159
ազգք	159
լաւ	159
առաջիկայ	159
ենթահատուածը	159
կարապետին	158
պատրաստեալ	158
թագաւորէն	158
ելանէր	158
այդպէս	158
սմա	157
լինիցի	157
բառնալ	157
սրտի	157
յակոբ	157
հետէ	157
քաղցր	156
անապական	156
հրոյ	156
ելին	156
էջ	156
դարձաւ	156
թագաւորութեան	156
գաւառ	156
դէպ	156
գանձ	155
ուրախութեամբ	155
աւետեաց	154
աւրհնութեան	154
տիեզերաց	154
պիղծ	154
մեծաց	154
թեպէտ	154
բերան	154
դառնայ	154
մուշեղ	154
զոք	154
երկոցունց	154
աջմէ	153
նըման	153
ահաւոր	153
հրեշտակք	153
գիրք	153
եդին	153
յիս	153
ծովու	153
մնաց	153
ողջ	153
ապաքէն	153
գունդ	152
բարձունս	152
մաւր	152
պատուով	152
դառն	152
հեռի	152
կերակուր	152
մեծամեծս	152
յիշեա	151
զմեր	151
գործս	151
եկեսցէ	151
յակոբայ	151
դիմեալ	151
տացէ	151
եղբաւր	151
լիցին	151
կոչել	151
անունով	151
յորս	150
զտէրն	150
մարտ	150
սովաւ	150
մեռանել	150
մարգարէից	149
դա	149
մեռանի	149
հաւատ	149
մասունս	149
թագաւորի	149
շ	149
հայցմամբ	148
յատուկ	148
քրիստոնէից	148
դասուց	148
ւք	148
տէրունական	148
գան	148
պատմել	148
վախճանի	148
անցանել	148
